ing,ing_func,cir,ewg
Cocamide DEA,"['Emulsifying', 'Emulsion Stabilising', 'Foam Boosting', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,7.0
Prunus Armeniaca (Apricot) Fruit Extract,['Skin Conditioning'],nan,1.0
Avena Sativa (Oat) Straw Extract,['Skin Conditioning'],B,1.0
Glyceryl Diisostearate,"['Emollient', 'Emulsifying', 'Opacifying', 'Skin Conditioning']",B,1.0
Rabdosia Rubescens Extract,['Skin Conditioning'],nan,1.0
Dimethicone/Methicone Copolymer,['Anticaking Agent'],nan,1.0
Tuber Magnatum Extract,['Skin Conditioning'],nan,1.0
PEG-7 Dimethicone,"['Film Forming', 'Hair Conditioning', 'Skin Conditioning']",A,3.0
Di-C12-18 Alkyl Dimonium Chloride,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Polianthes Tuberosa Extract,"['Film Forming', 'Fragrance', 'Perfuming', 'Skin Conditioning', 'Skin Protecting', 'Viscosity Controlling Agent', 'Viscosity Increasingagent - Aqueous']",nan,1.0
Eugenia Caryophyllus (Clove) Bud Oil,"['Fragrance', 'Masking']",nan,5.0
Tricholoma Matsutake Extract,['Skin Conditioning'],nan,1.0
Isostearyl Isostearate,"['Binding', 'Binding Agent', 'Emollient', 'Skin Conditioning']",B,1.0
Polygonum Multiflorum Root Extract,['Skin Conditioning'],nan,1.0
Paeonia Lactiflora Extract,['Astringent'],nan,1.0
Sodium Olefin Sulfonate,[''],nan,1.0
Glyceryl Caprylate/Caprate,"['Emollient', 'Emulsifying']",nan,3.0
Rubus Idaeus (Raspberry) Leaf Wax,"['Fragrance', 'Masking']",nan,1.0
Prunus Armeniaca (Apricot) Seed Powder,['Abrasive'],nan,1.0
Acetyl Tetrapeptide-5,['Humectant'],nan,1.0
Phosphatidylcholine,"['Emulsifying', 'Skin Conditioning', 'Surfactant']",A,1.0
Hydrogenated Palm Kernel Glycerides,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Hydrolyzed Sericin,"['Hair Conditioning', 'Skin Conditioning']",A,3.0
Angelica Gigas Root Extract,"['Hair Conditioning', 'Hair Waving Or Straightening', 'Skin Conditioning']",nan,1.0
Ginkgo Biloba Nut Extract,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Candida Bombicola/Glucose/Methyl Rapeseedate Ferment,"['Antiacne Agent', 'Antimicrobial Agent', 'Antiseborrhoeic', 'Cosmetic Biocide', 'Deodorant', 'Skin Protecting', 'Surfactant -Cleansing Agent']",nan,1.0
Astragalus Membranaceus Root Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Cimicifuga Racemosa Root Extract,"['Antimicrobial', 'Antioxidant', 'Emollient', 'Humectant', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Arctium lappa (Burdock) Root Extract,[''],nan,1.0
MDM Hydantoin,"['Antimicrobial', 'Preservative']",nan,1.0
Amino Acids,[''],nan,1.0
Butane,['Propellant'],A,7.0
CI 61565,['Cosmetic Colorant'],nan,3.0
Citrus Aurantium Dulcis (Orange) Fruit Water,"['Flavoring Agent', 'Fragrance', 'Masking']",B,1.0
Citrus Aurantifolia (Lime) Fruit Extract,[''],B,3.0
Capsicum Annuum Resin,['Skin Conditioning'],nan,1.0
Angelica Archangelica Root Oil,"['Masking', 'Perfuming', 'Tonic']",nan,1.0
Cinnamomum Zeylanicum Bark Oil,"['Masking', 'Perfuming', 'Tonic']",nan,1.0
Fuller's Earth,[''],nan,1.0
Centella Asiatica (Gotu Kola),[''],nan,1.0
Eriobotrya Japonica Leaf Extract,"['Skin Conditioning', 'Skin Protecting', 'Tonic']",nan,1.0
Bacopa Monniera Extract,['Skin Conditioning'],nan,1.0
Calophyllum Inophyllum Oil,[''],nan,1.0
Methyl Diisopropyl Propionamide,"['Fragrance', 'Masking']",nan,1.0
Chamomilla Recutita (Matricaria) Flower Water,"['Fragrance', 'Masking']",B,1.0
Hibiscus Sabdariffa Flower,['Skin Conditioning'],nan,1.0
Sodium Chondroitin Sulfate,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Magnesium Silicate,"['Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Opacifying', 'Slip Modifier', 'Viscosity Controlling', 'Viscosity Increasing Agent - Aqueous']",A,1.0
Astaxanthin,"['Cosmetic Colorant', 'Skin Conditioning']",nan,1.0
Ethyl Ascorbyl Ether,[''],nan,1.0
Calendula Officinalis Flower Water,"['Flavoring Agent', 'Masking', 'Perfuming']",nan,1.0
Cynara Scolymus (Artichoke) Leaf Extract,[''],nan,1.0
Magnesium Palmitoyl Glutamate,['Skin Conditioning'],B,1.0
Sodium Palmitoyl Sarcosinate,"['Cleansing', 'Hair Conditioning', 'Surfactant']",B,1.0
Daucus Carota Sativa (Carrot) Oil,[''],nan,1.0
Passiflora Edulis Flower Extract,['Skin Conditioning'],nan,1.0
Sodium Bisulfite,"['Antioxidant', 'Hair Waving Or Straightening', 'Preservative', 'Reducing']",A,3.0
Morus Alba (White Mulberry) Leaf Extract,['Skin Conditioning'],nan,1.0
Calcium Alginate,"['Fragrance', 'Masking', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Phenylethyl Resorcinol,['Antioxidant'],nan,1.0
CI 73360,['Cosmetic Colorant'],nan,5.0
C12-13 Alkyl Lactate,"['Emollient', 'Skin Conditioning']",nan,1.0
Passiflora Incarnata Extract,['Astringent'],nan,1.0
Pelvetia Canaliculata Extract,['Skin Protecting'],nan,1.0
Taurine,"['Buffering Agent', 'Fragrance']",nan,1.0
Tripleurospermum Maritima Extract,[''],nan,1.0
Yeast Amino Acids,['Humectant'],A,1.0
Gossypium Herbaceum (Cotton) Extract,['Skin Conditioning'],nan,1.0
Hexanediol,['Solvent'],nan,1.0
Lysine Thiazolidine Carboxylate,"['Skin Conditioning', 'Surfactant']",nan,1.0
Lysine Carboxymethyl Cysteinate,['Skin Conditioning'],nan,1.0
Methyl Methacrylate/Glycol Dimethacrylate Crosspolymer,['Film Forming'],A,1.0
PEG-7M,"['Binding Agent', 'Emulsion Stabilising', 'Viscosity Increasing Agent']",A,3.0
Potassium Palmitoyl Hydrolyzed Oat Protein,"['Hair Conditioning', 'Skin Conditioning', 'Surfactant']",nan,1.0
Hydrolyzed Oat Protein,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",B,1.0
Litchi Chinensis Pericarp Extract,['Skin Conditioning'],nan,1.0
Sorbeth-30,"['Humectant', 'Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",nan,1.0
PEG-5M,"['Binding Agent', 'Emulsion Stabilising', 'Viscosity Increasing Agent']",nan,3.0
C12-13 Pareth-3,"['Emulsifying', 'Surfactant']",B,1.0
Peucedanum Graveolens (Dill) Extract,['Tonic'],nan,1.0
Isomerized linoleic acid,"['Film Forming', 'Skin Conditioning']",nan,1.0
Polysorbate 40,"['Emulsifying', 'Surfactant']",B,3.0
Hypericum Perforatum Extract,"['Antimicrobial', 'Astringent', 'Masking', 'Skin Conditioning', 'Skin Protecting', 'Soothing', 'Tonic']",A,1.0
Tamarix Chinensis Flower/Leaf Extract,"['Humectant', 'Skin Conditioning']",nan,1.0
Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate,"['Skin Conditioning', 'Viscosity Controlling']",nan,1.0
Tripeptide-29,['Skin Conditioning'],nan,1.0
Polyglyceryl-3 Polyricinoleate,"['Emulsifying', 'Surfactant', 'Viscosity Increasing Agent']",nan,1.0
Chenopodium Quinoa Extract,['Skin Conditioning'],nan,1.0
Caesalpinia Spinosa Gum,"['Adhesive', 'Film Forming', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Palmaria Palmata Extract,['Skin Protecting'],nan,1.0
Pyridoxine,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Magnesium Laureth-8 Sulfate,"['Cleansing', 'Surfactant']",nan,2.0
Magnesium Oleth Sulfate,"['Cleansing', 'Surfactant']",B,3.0
Sodium Laureth-8 Sulfate,"['Cleansing', 'Foaming', 'Surfactant']",nan,3.0
Sodium Oleth Sulfate,"['Cleansing', 'Emulsifying', 'Foaming', 'Surfactant']",B,3.0
Placental Protein,"['Hair Conditioning', 'Humectant', 'Skin Conditioning']",B,5.0
Momordica Charantia Fruit Extract,"['Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Allium Cepa (Onion) Bulb Extract,['Skin Conditioning'],nan,1.0
Commiphora Myrrha Resin,['Masking'],nan,1.0
Fucus Vesiculosus Powder,['Skin Conditioning'],nan,1.0
Potassium Iodide,['Antimicrobial'],nan,2.0
Daucus Carota Sativa (Carrot) Root,['Skin Conditioning'],nan,1.0
Cetearyl Wheat Straw Glycosides,"['Emulsifying', 'Surfactant']",nan,1.0
Actinidia Chinensis (Kiwi) Seed,['Abrasive'],nan,1.0
Vitis Vinifera (Grape),"['Masking', 'Skin Protecting']",A,1.0
Actinidia Chinensis (Kiwi) Seed Oil,"['Emollient', 'Skin Conditioning', 'Skin-Conditioning Agent - Occlusive']",A,1.0
Dipalmitoyl Hydroxyproline,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Pectin,"['Binding', 'Binding Agent', 'Emulsion Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Galium Verum Extract,[''],nan,1.0
Betula Alba Leaf Extract,"['Astringent', 'Cleansing', 'Masking', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,2.0
Polysilicone-9,['Hair Fixing'],nan,1.0
Lactobacillus/Punica Granatum Fruit Ferment Extract,"['Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Punica Granatum Bark Extract,"['Masking', 'Skin Conditioning']",nan,1.0
PPG-1-PEG-9 Lauryl Glycol Ether,"['Emulsifying', 'Surfactant']",nan,3.0
Citrus Sinensis Peel Oil Expressed,['Perfuming'],nan,1.0
Helichrysum Italicum (Everlasting) Flower Extract,[''],nan,1.0
Prunus Dulcis (Almond) Oil,[''],nan,1.0
Cananga Odorata (Ylang Ylang),[''],nan,1.0
Vitex Agnus Castus Extract,['Cosmetic Astringent'],nan,1.0
Nylon 6/12,"['Absorbent', 'Bulking Agent', 'Opacifying']",A,1.0
Olus,[''],nan,1.0
Leptospermum Scoparium (Manuka),[''],nan,1.0
Diethylhexyl Sodium Sulfosuccinate,"['Cleansing', 'Emulsifying', 'Hydrotrope', 'Surfactant']",A,1.0
Silver Chloride,['Preservative'],nan,2.0
Piroctone Olamine,"['Cosmetic Biocide', 'Preservative']",nan,2.0
Salicyloyl Phytosphingosine,['Skin Conditioning'],nan,1.0
Epilobium Fleischeri Extract,['Skin Conditioning'],nan,1.0
Coix Lacryma-Jobi Ma-yuen Seed Water,['Skin Conditioning'],nan,1.0
Coix Lacryma-Jobi Ma-yuen (Job's Tears) Seed Oil,[''],nan,1.0
Tremella Fuciformis Sporocarp Extract,"['Antioxidant', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Lithium Magnesium Sodium Silicate,"['Bulking Agent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Citrus Aurantium Dulcis (Orange) Peel Extract,[''],B,1.0
Trilinolein,"['Emollient', 'Refatting', 'Skin Conditioning', 'Solvent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Amethyst Powder,['Abrasive'],nan,1.0
Colloidal Gold,"['Antimicrobial', 'Skin Conditioning']",nan,4.0
Petroleum Distillates,"['Antifoaming Agent', 'Solvent']",A,5.0
Polyglyceryl-3 Distearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
PPG-1 Trideceth-6,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Hydrogenated Dimer Dilinoleyl/Dimethylcarbonate Copolymer,"['Emulsion Stabilising', 'Skin Protecting']",nan,1.0
Palm Kernel Acid,"['Emulsifying', 'Opacifying', 'Sufactant', 'Surfactant']",A,1.0
Magnesium PCA,"['Humectant', 'Skin Conditioning']",B,1.0
Behenyl Behenate,"['Emollient', 'Skin Conditioning']",B,1.0
Prunus Serotina (Wild Cherry) Fruit Extract,"['Fragrance', 'Masking', 'Moisturising', 'Skin Conditioning']",nan,1.0
Pantothenic Acid/Yeast Polypeptide,['Skin Conditioning'],nan,1.0
Polyglyceryl-4 Oleate,['Emulsifying'],B,1.0
C9-12 Alkane,['Solvent'],nan,1.0
Isoceteth-10,"['Emulsifying', 'Surfactant']",B,3.0
Prunus Amygdalus Dulcis (Sweet Almond),[''],nan,1.0
Phenylisopropyl Dimethicone,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Oxygen,['Skin Conditioning'],nan,1.0
Sodium Arachidate,"['Buffering Agent', 'Emulsifying', 'Emulsion Stabilising', 'Surfactant', 'Viscosity Controlling']",nan,1.0
Sodium Palmitate,"['Emulsifying', 'Sufactant', 'Surfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,2.0
Vanillin,"['Flavoring Agent', 'Fragrance', 'Masking']",nan,1.0
Cichorium Intybus (Chicory) Root Extract,"['Fragrance', 'Skin Conditioning']",nan,1.0
Protease,"['Lytic Agent', 'Skin Conditioning']",nan,1.0
Tamarindus Indica Seed Polysaccharide,['Skin Conditioning'],nan,1.0
Rubus Chamaemorus Fruit Extract,['Antioxidant'],nan,1.0
Coffea Arabica (Coffee) Seed Oil,[''],nan,1.0
Paeonia Albiflora Flower Extract,['Tonic'],nan,1.0
Salvia Officinalis (Sage) Leaf Water,"['Fragrance', 'Skin Conditioning']",nan,1.0
Malpighia Punicifolia (Acerola) Fruit Extract,['Antioxidant'],nan,1.0
Gossypium Herbaceum (Cotton) Seed Oil,['Skin Conditioning'],A,1.0
Bidens Pilosa Extract,"['Humectant', 'Skin Conditioning']",nan,1.0
Echinacea Purpurea Root Extract,"['Moisturising', 'Skin Conditioning', 'Tonic']",nan,1.0
Citrus Nobilis (Mandarin Orange) Fruit Extract,"['Fragrance', 'Skin Conditioning']",B,1.0
Brassica Oleracea Italica (Broccoli) Seed Oil,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Green Clay,[''],nan,1.0
Algae,['Skin Conditioning'],nan,1.0
Waltheria Indica Leaf Extract,['Skin Conditioning'],nan,1.0
Sodium Propoxyhydroxypropyl Thiosulfate Silica,['Bulking Agent'],nan,1.0
Sodium Caproyl Lactylate,"['Emulsifying', 'Surfactant']",nan,1.0
Caprylic Acid,"['Emulsifying', 'Fragrance', 'Masking', 'Perfuming']",nan,1.0
Quercus Robur Bark Extract,['Astringent'],nan,1.0
Plantago Major Leaf Extract,['Skin Conditioning'],nan,1.0
Glyceryl Caprate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",A,3.0
Myristoyl/Palmitoyl Oxostearamide/Arachamide MEA,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Alkanna Tinctoria Root Extract,['Skin Conditioning'],nan,1.0
Nelumbo Nucifera Flower Wax,[''],nan,1.0
Calamine,"['Absorbent', 'Opacifying', 'Skin Protecting']",nan,1.0
Porphyridium Cruentum Extract,['Skin Conditioning'],nan,1.0
Polygonum,[''],nan,1.0
Cymbopogon Citratus Leaf Oil,"['Masking', 'Perfuming']",nan,1.0
Pongamia Glabra Seed Oil,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Cinnamomum Camphora Linalooliferum Leaf Oil,['Perfuming'],nan,3.0
CI 75810,"['Cosmetic Colorant', 'Deodorant']",nan,1.0
CI 10316,['Cosmetic Colorant'],nan,4.0
Paullinia Cupana Seed Extract,"['Skin Conditioning', 'Tonic']",nan,1.0
Amylodextrin,"['Absorbent', 'Bulking Agent']",A,1.0
Bis-PEG-12 Dimethicone Beeswax,"['Hair Conditioning', 'Skin Conditioning']",A,3.0
Benzyl Acetate,"['Masking', 'Perfuming', 'Solvent']",nan,1.0
Punica Granatum Seed Oil,['Emollient'],A,1.0
Ethylene/Propylene Copolymer,"['Abrasive', 'Bulking Agent', 'Film Forming']",A,1.0
Geranyl Acetate,"['Fragrance', 'Perfuming', 'Tonic']",nan,1.0
Ribes Nigrum (Black Currant) Leaf Extract,['Skin Conditioning'],nan,1.0
Zingiber Zerumbet Extract,['Skin Conditioning'],nan,1.0
Cassia Angustifolia Seed Polysaccharide,['Skin Conditioning'],A,1.0
Morus Alba (Mulberry) Extract,[''],nan,1.0
Sorbitan Sesquicaprylate,"['Skin Conditioning', 'Surfactant', 'Viscosity Controlling']",A,1.0
Cyamopsis Tetragonoloba (Guar) Gum,"['Binding', 'Binding Agent', 'Emulsion Stabilising', 'Film Forming', 'Fragrance', 'Masking', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Dioscorea Opposita (Wild Yam) Root Extract,['Skin Conditioning'],nan,1.0
Angelica Keiskei Leaf/Stem Extract,['Skin Conditioning'],nan,1.0
Olea Europaea (Olive) Leaf,['Skin Conditioning'],nan,1.0
Sodium Coceth Sulfate,"['Emulsifying', 'Foaming', 'Sufactant', 'Surfactant']",B,1.0
PEG-40 Glyceryl Cocoate,"['Emulsifying', 'Sufactant', 'Surfactant']",B,4.0
Arachidonic Acid,"['Emollient', 'Skin Conditioning']",nan,1.0
Saponaria Officinalis Extract,[''],nan,1.0
Quaternium-60,"['Antistatic Agent', 'Hair Conditioning']",nan,1.0
HDI/PPG/Polycaprolactone Crosspolymer,"['Anticaking Agent', 'Bulking Agent']",A,1.0
Tamarindus Indica Seed Extract,"['Emollient', 'Humectant', 'Skin Conditioning']",nan,1.0
Phytosteryl Canola Glycerides,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
C12-20 Acid PEG-8 Ester,"['Emulsifying', 'Surfactant']",nan,3.0
Neopentyl Glycol Diethylhexanoate,"['Emollient', 'Skin Conditioning', 'Viscosity Increasing Agent']",nan,1.0
Neopentyl Glycol Diisostearate,"['Emulsifying', 'Skin Conditioning', 'Viscosity Increasing Agent']",nan,1.0
Adipic Acid/Neopentyl Glycol Crosspolymer,"['Anticaking Agent', 'Antiperspirant Agent', 'Binding', 'Bulking Agent', 'Deodorant', 'Viscosity Controlling']",nan,1.0
Thuja Orientalis Leaf Extract,"['Antioxidant', 'Bleaching', 'Hair Conditioning', 'Skin Protecting']",nan,1.0
Acrylates/C12-22 Alkyl Methacrylate Copolymer,['Film Forming'],nan,1.0
Bis-Phenylpropyl Dimethicone,['Hair Conditioning'],nan,1.0
Ethylene/Acrylic Acid Copolymer,"['Binding', 'Emulsion Stabilising', 'Film Forming', 'Opacifying']",B,2.0
PPG-14 Butyl Ether,"['Hair Conditioning', 'Skin Conditioning']",B,1.0
Hydrogenated Ethylhexyl Olivate,"['Emollient', 'Skin Conditioning']",B,1.0
Hydrogenated Olive Oil Unsaponifiables,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Olive Oil Decyl Esters,['Refatting'],nan,1.0
Isopropylparaben,['Preservative'],A,7.0
Rosa Damascena Flower,['Skin Conditioning'],nan,1.0
Glycol Stearate SE,"['Emulsifying', 'Surfactant']",A,1.0
Ononis Spinosa Root Extract,"['Antiseborrhoeic', 'Soothing']",nan,1.0
Pentaerythrityl Tetrabehenate,"['Binding Agent', 'Emollient', 'Skin-Conditioning Agent - Occlusive', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Uric Acid,"['Buffering Agent', 'Skin Conditioning']",nan,1.0
Myroxylon Pereirae (Balsam Peru) Oil,['Fragrance'],nan,3.0
Azulene,"['Skin Conditioning', 'Soothing']",nan,3.0
Verbena Officinalis Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Gluconic Acid,"['Buffering Agent', 'Chelating Agent', 'Fragrance', 'Humectant', 'Solvent']",A,1.0
Dithiaoctanediol,['Skin Conditioning'],nan,1.0
Benzyl PCA,['Humectant'],nan,1.0
Sutilains,"['Keratolytic', 'Lytic Agent']",nan,1.0
Oligopeptide-34,['Skin Conditioning'],nan,1.0
Hydroxycinnamic Acid,['Skin Conditioning'],nan,2.0
Zinc Glycinate,"['Buffering Agent', 'Ph Adjuster']",nan,3.0
Hydrogenated Coconut Acid,"['Emollient', 'Emulsifying', 'Opacifying', 'Skin Conditioning']",A,1.0
polyquaternium-53,['Hair Conditioning'],nan,2.0
PEG-55 Propylene Glycol Oleate,"['Sufactant', 'Surfactant', 'Viscosity Controlling']",A,3.0
Citrus Medica Limonum (Lemon) Fruit Water,"['Fragrance', 'Masking', 'Skin Conditioning']",nan,1.0
o-Phenylphenol,['Preservative'],nan,9.0
Fragaria Ananassa (Strawberry) Seed Oil,[''],A,1.0
Fragaria Vesca (Strawberry) Seed,['Abrasive'],nan,1.0
Stearalkonium Hectorite,"['Gel Forming', 'Suspending Agent - Nonsurfactant', 'Viscosity Controlling']",A,1.0
Polyester-5,"['Film Forming', 'Viscosity Controlling']",nan,1.0
Vitis Vinifera (Grape) Seed,['Skin Conditioning'],A,1.0
Adenophora Stricta Root Extract,"['Humectant', 'Skin Conditioning']",nan,1.0
Zizyphus Jujuba Fruit Extract,['Skin Conditioning'],nan,1.0
Juglans Regia (Walnut) Shell Extract,[''],nan,1.0
Sodium Glutamate,"['Fragrance', 'Hair Conditioning', 'Masking', 'Skin Conditioning']",A,1.0
Palmitoyl Isoleucine,['Skin Protecting'],B,1.0
Abies Sibirica Oil,"['Masking', 'Perfuming', 'Tonic']",nan,3.0
Disodium Oleamido MIPA-Sulfosuccinate,"['Antistatic Agent', 'Cleansing', 'Foam Boosting', 'Foaming', 'Hydrotrope', 'Surfactant']",nan,1.0
Stearamidoethyl Diethylamine,"['Antistatic Agent', 'Hair Conditioning']",nan,1.0
Triethylamine,[''],nan,6.0
Passiflora Incarnata Flower Extract,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Leontopodium Alpinum Flower Extract,['Skin Conditioning'],nan,1.0
Polyphosphorylcholine Glycol Acrylate,['Film Forming'],nan,1.0
Ethylhexyl Methoxycrylene,['Uv Absorber'],nan,1.0
PEG-150 Pentaerythrityl Tetrastearate,"['Emulsifying', 'Viscosity Increasing Agent']",A,3.0
Angelica Archangelica Root Extract,"['Fragrance', 'Perfuming', 'Skin Conditioning']",nan,1.0
Phyllanthus Emblica Fruit Extract,"['Humectant', 'Skin Conditioning']",nan,1.0
Cedrus Atlantica Wood Oil,['Perfuming'],nan,2.0
Mentha Piperita (Peppermint),[''],nan,1.0
SD Alcohol 39-C,[''],A,4.0
Citrus Grandis (Grapefruit),[''],nan,1.0
Sodium Cocoyl Amino Acids,"['Antistatic Agent', 'Cleansing', 'Surfactant']",B,1.0
Potassium Aspartate,['Skin Conditioning'],A,1.0
Chrysanthemum Parthenium (Feverfew) Flower Extract,['Skin Conditioning'],nan,1.0
Cocoyl Sarcosine,"['Cleansing', 'Hair Conditioning', 'Surfactant']",B,2.0
"2-Oleamido-1,3-Octadecanediol","['Emollient', 'Skin Conditioning']",A,1.0
C30-45 Alkyl Methicone,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Sodium Myreth Sulfate,"['Cleansing', 'Emulsifying', 'Foaming', 'Surfactant']",B,1.0
PEG/PPG-20/20 Dimethicone,"['Emulsifying', 'Surfactant']",A,3.0
C10-30 Cholesterol/Lanosterol Esters,"['Emulsifying', 'Skin Conditioning', 'Viscosity Controlling']",nan,1.0
CI 60725,"['Colorant', 'Cosmetic Colorant']",nan,4.0
Hydrogenated Castor Oil Dimer Dilinoleate,"['Binding Agent', 'Hair Conditioning', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Oryza Sativa (Rice) Bran Wax,"['Hair Conditioning', 'Skin Conditioning', 'Skin Protecting', 'Smoothing', 'Viscosity Controlling']",A,3.0
C18-38 Alkyl Hydroxystearoyl Stearate,"['Emollient', 'Emulsion Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Commiphora Myrrha Oil,"['Masking', 'Skin Conditioning', 'Tonic']",nan,2.0
Polystyrene,"['Film Forming', 'Viscosity Increasing Agent']",A,1.0
Coconut Alcohol,"['Emollient', 'Emulsifying', 'Emulsion Stabilising', 'Foam Boosting', 'Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Caprooyl Tetrapeptide-3,['Skin Protecting'],nan,1.0
Calcium Oxide,"['Buffering Agent', 'Ph Adjuster']",nan,1.0
Persea Gratissima (Avocado) Oil Unsaponifiables,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Hibiscus Syriacus Bark Extract,['Skin Conditioning'],nan,1.0
Lonicera Caprifolium (Honeysuckle) Extract,['Skin Conditioning'],nan,1.0
Malachite,['Skin Conditioning'],nan,1.0
Potato Starch Modified,['Viscosity Controlling'],A,1.0
Hydroxylated Lecithin,"['Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Cyclopia Intermedia Leaf Extract,"['Humectant', 'Skin Conditioning']",nan,1.0
White Tea,[''],nan,1.0
Dioscorea Villosa (Wild Yam) Root Extract,['Skin Conditioning'],A,1.0
Polyquaternium-52,"['Hair Conditioning', 'Viscosity Increasing Agent']",nan,1.0
Adansonia Digitata Fruit Extract,"['Emollient', 'Humectant', 'Skin Conditioning']",nan,1.0
Totarol,"['Antioxidant', 'Deodorant']",nan,1.0
Sorbitan Sesquiisostearate,"['Emulsifying', 'Surfactant']",A,1.0
Coffea Robusta Seed Extract,['Skin Conditioning'],nan,1.0
Stearoxy Dimethicone,"['Emollient', 'Skin Conditioning']",A,1.0
Allyl Methacrylates Crosspolymer,"['Emulsion Stabilising', 'Opacifying', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
Pentaerythrityl Adipate/Caprate/Caprylate/Heptanoate,"['Emollient', 'Skin-Conditioning Agent - Occlusive', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Polyglyceryl-4 Isostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Hydrogenated Dilinoleyl Alcohol,"['Emollient', 'Skin Conditioning']",nan,1.0
PPG-30,['Skin Conditioning'],B,1.0
Oxidized Polyethylene,"['Viscosity Controlling', 'Viscosity Increasing Agent']",nan,3.0
Sanguisorba Officinalis Root Extract,"['Cleansing', 'Refreshing', 'Skin Conditioning', 'Tonic']",nan,1.0
Polyglyceryl-2 Diisostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer,['Skin Conditioning'],nan,1.0
Calcium Ascorbate,"['Antioxidant', 'Skin Conditioning']",A,1.0
Stearyl Heptanoate,"['Emollient', 'Skin Conditioning']",B,1.0
Tristearin,"['Emollient', 'Refatting', 'Skin Conditioning', 'Solvent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Tripalmitin,"['Emollient', 'Refatting', 'Skin Conditioning', 'Solvent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Octadecene/MA Copolymer,"['Stabilising', 'Viscosity Controlling']",nan,1.0
Saccharomyces/Potassium Ferment,['Skin Conditioning'],nan,1.0
Starch Hydroxypropyltrimonium Chloride,"['Antistatic Agent', 'Emulsion Stabilising', 'Hair Conditioning', 'Suspending Agent -Nonsurfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Zea Mays (Corn) Germ Oil,"['Emollient', 'Skin Conditioning']",A,1.0
C12-14 Pareth-7,"['Emulsifying', 'Surfactant']",B,1.0
Riboflavin,"['Cosmetic Colorant', 'Skin Conditioning']",nan,1.0
