ing,ing_func,cir,ewg
Alcohol Denat.,"['Antifoaming Agent', 'Antimicrobial', 'Astringent', 'Masking', 'Solvent', 'Viscosity Controlling']",nan,4.0
Butylparaben,"['Fragrance', 'Masking', 'Preservative']",A,7.0
Isobutylparaben,['Preservative'],A,7.0
Dihydroxyacetone,"['Cosmetic Colorant', 'Reducing', 'Skin Conditioning', 'Tanning']",nan,4.0
Ceteareth-15,"['Emulsifying', 'Surfactant']",B,7.0
Titanium Dioxide,"['Cosmetic Colorant', 'Opacifying', 'Sunscreen Agent', 'Uv Absorber']",nan,3.0
Disodium Succinate,"['Fragrance', 'Masking', 'Surfactant']",A,1.0
Succinic Acid,"['Buffering Agent', 'Fragrance', 'Masking', 'Ph Adjuster']",A,1.0
Sodium Acetylated Hyaluronate,['Humectant'],nan,1.0
PPG-10 Methyl Glucose Ether,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Hydroxyethylcellulose,"['Binding', 'Binding Agent', 'Emulsion Stabilising', 'Film Forming', 'Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Hydrolyzed Hyaluronic Acid,"['Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
"1,2-Hexanediol",['Solvent'],A,1.0
Niacinamide,"['Hair Conditioning', 'Skin Conditioning', 'Smoothing']",A,1.0
Vinegar,['Ph Adjuster'],nan,1.0
Bifida Ferment Lysate,['Skin Conditioning'],nan,1.0
Adenosine,['Skin Conditioning'],nan,1.0
Ethylhexylglycerin,"['Deodorant', 'Skin Conditioning']",A,1.0
Xanthan Gum,"['Binding', 'Binding Agent', 'Emulsion Stabilising', 'Gel Forming', 'Skin Conditioning', 'Surfactant -Emulsifying Agent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Pearl Powder,[''],nan,1.0
Sodium PCA,"['Antistatic Agent', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",B,1.0
Cholesterol,"['Emollient', 'Emulsifying', 'Emulsion Stabilising', 'Skin Conditioning', 'Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Polyquaternium-51,"['Film Forming', 'Humectant', 'Skin Conditioning']",nan,1.0
Propanediol,"['Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",nan,1.0
Yeast Ferment Extract,['Skin Conditioning'],nan,1.0
Ceramide,[''],nan,1.0
Oryza Sativa (Rice) Extract,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,2.0
Hydrogenated Lecithin,"['Emulsifying', 'Skin Conditioning', 'Surfactant', 'Suspending Agent- Nonsurfactant']",A,2.0
C13-14 Isoparaffin,"['Emollient', 'Solvent']",B,1.0
Melaleuca Alternifolia (Tea Tree) Extract,['Skin Conditioning'],nan,1.0
Gluconolactone,"['Fragrance', 'Humectant', 'Solvent']",nan,1.0
Snail Secretion Filtrate,['Skin Conditioning'],nan,1.0
Rosmarinus Officinalis (Rosemary) Extract,[''],B,1.0
Mineral Salts,['Skin Conditioning'],nan,1.0
Sorbitan Sesquioleate,"['Emulsifying', 'Surfactant']",A,1.0
Butyrospermum Parkii (Shea) Butter,[''],A,1.0
Sucrose,"['Flavoring Agent', 'Humectant', 'Skin Conditioning', 'Soothing']",A,1.0
Sclerotium Gum,"['Emulsion Stabilising', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Ethyl Palmitate,"['Emollient', 'Fragrance', 'Hair Conditioning', 'Perfuming', 'Skin Conditioning']",nan,1.0
